Relay URL,Latitude,Longitude
nostr.notribe.net,40.8302,-74.1299
basspistol.org,49.0291,8.35696
relay.opmaat.org,60.1699,24.9384
nostr.oxtr.dev:443,50.4754,12.3683
relay5.bitransfer.org,43.6532,-79.3832
nostr.thalheim.io:443,60.1699,24.9384
nostr.wecsats.io,43.6532,-79.3832
nostr.n7ekb.net,47.4941,-122.294
relaynostr.spirwind.fr,50.6924,3.20113
relay2.veganostr.com,60.1699,24.9384
nostr.carroarmato0.be,50.914,3.21378
relay.arx-ccn.com,50.4754,12.3683
nip85.nosfabrica.com,39.0997,-94.5786
relay.btcforplebs.com,43.6532,-79.3832
0x-nostr-relay.fly.dev,38.7946,-106.535
relay.endfiat.money:443,59.3327,18.0656
relay.wasabiwallet.io,43.6532,-79.3832
bridge.tagomago.me,42.3601,-71.0589
strfry.bonsai.com:443,39.0438,-77.4874
nostr.christiansass.de,51.1112,6.33383
relay.degmods.com,50.4754,12.3683
nostr-dev.wellorder.net,45.5201,-122.99
nostr.fullstackcash.net,45.5201,-122.99
purplerelay.com,43.6532,-79.3832
nostr-01.yakihonne.com:443,1.32123,103.695
relay.cypherflow.ai,48.8575,2.35138
relay.wisp.talk:443,49.4543,11.0746
offchain.pub:443,39.1585,-94.5728
relay.guggero.org,46.5971,9.59652
nostr.sovereignservices.xyz,43.6532,-79.3832
relay.satmaxt.xyz,43.6532,-79.3832
relay.lightning.pub:443,39.0438,-77.4874
relay.agorist.space:443,52.3734,4.89406
nostr.red5d.dev,43.6532,-79.3832
relayrs.notoshi.win,43.6532,-79.3832
relay.mitchelltribe.com,39.0438,-77.4874
nostr.plantroon.com:443,50.1013,8.62643
nostr.spicyz.io,43.6532,-79.3832
nostr.easycryptosend.it,43.6532,-79.3832
nostr.na.social,43.6532,-79.3832
dm-test-strfry-discovery.samt.st,43.6532,-79.3832
relay.bnos.space:443,43.6532,-79.3832
nostrcity-club.fly.dev,38.7946,-106.535
reraw.pbla2fish.cc,43.6532,-79.3832
